movie,release_date,release_order,phase,running_time,budget,box_office,rt_critic_score,rt_audience_score,characters,Gender Rating,Gender Rank,Race Rating,Race Rank,Sexuality Rating,Sexuality Rank,Overall Rating,Overall Rank
Captain Marvel,8-Mar-19,21,3,124,152,"1,128",79,45,"Accuser, Att Lass, Mar-Vell, Maria Rambeau, Minn Erva, Monica Rambeau, Black Widow, Natasha Romanoff, Bret Johnson, Bron Char, Nick Fury, Norex, Cajun, Captain Marvel, Carol Danvers, Cook, Phil Coulson, Don, R. Keller, Ronan the Accuser, Good, Soh Larr, Soren, Steve Danvers, Steve Rogers, Supreme Intelligence, Hulk, Bruce Banner, Joseph Danvers, Korath, Talos, War Machine, James Rhodes, Watcher Informant, Whitcher, Livanson, Yon-Rogg",0.2727272727,21,0.2424242424,23,0,10,0.5151515152,26
Avengers: Endgame,26-Apr-19,22,3,181,356,"2,798",94,90,"Akihiko, Alexander Pierce, Ancient One, Ant Man, Scott Lang, Augie, Korg, Kraglin Obfonteri, Laura Barton, Lia, Lila Barton, Loki, Black Panther, Shuri, Black Widow, Natasha Romanoff, Brock Rumlow, M'Baku, Mantis, Maria Hill, May Parker, Miek, Morgan Stark, Captain America, Steve Rogers, Captain Marvel, Carol Danvers, Cassie Lang, Chesler Cooper Barton, Corvus Glaive, Cull Obsidian, Nathaniel Barton, Nebula, Ned Leeds, Nick Fury, Dr. Steven Strange, Drax, Okoye, Peggy Carter, Pepper Potts, Phyllis Jenkins, Proxima Midnight, Ebony Maw, Edwin Jarvis, F.R.I.D.A.Y., Frigga, Gamora, Groot, Ramonda, Red Skull, Johann Schmidt, Rocket, Scarlet Witch, Wanda Maximoff, Spider Man, Peter Parker, Star Lord, Peter Quill, Hank Pym, Happy Hogan, Harley Keener, Hawkeye, Clint Barton, Howard Stark, Hulk, Bruce Banner, T'Challa, Thaddeus Ross, Thanos, Thor, Iron Man, Tony Stark, Valkyrie, War Machine, James Rhodes, Wasp, Hope van Dyne, Jack Rollins, Jane Foster, Janet van Dyne, Jasper Sitwell, Winter Soldier, Bucky Barnes, Wong, Watcher Informant",0.3846153846,7,0.2615384615,20,0.04615384615,6,0.6923076923,14
Spider-Man: Far From Home,2-Jul-19,23,3,129,160,"1,132",90,95,"Betty Brant, Brad Davis, Bristow, May Parker, Michelle Jones-Watson, Murph, Mysterio, Quentin Beck, Clark, Delmar, Dimitri Smerdyakov, Ned Leeds, Nick Fury, Pat Kiernan, Roger Harrington, Flash Thompson, Gutes Guterman, Sean Winford, Sebastian Fedas, Shanice, Soren, Spider Man, Peter Parker, Sue Lorman, Happy Hogan, Iron Man, Tony Strak, Iron Monger, Obadiah Stane, Talos, Tyler Corbyn, Victoria Snow, William Ginter Riva, Yasmin Monette, Zach Cooper, Zoha Souliotis, Julius Dell, Josh Scarino, Jason Ionello, Janice Lincoln, J. Jonah Jameson",0.303030303,15,0.5151515152,7,0,10,0.8181818182,10
WandaVision,15-Jan-21,24,4,360,225,0,91,88,"Abilash Tandon, Agatha Harkness, Aly Goodner, Billy Maximoff, Miguel, Miller, Monica Rambeau, Monti, Mrs. Nielson, Oleg Maximoff, Cliff, Quicksilver, Pietro Maximoff, Darcy Lewis, Dennis, Ralph Boner, Rodriguez (Agent), Evanora Harkness, Franklin, Sarah Proctor, Scarlet Witch, Wanda Maximoff, Sharon Davis, Stan Nielson, Harold Procter, Highland, Iryna Maximoff, Isabel Matsueda, Todd Davis, Tommy Maximoff, Tyler Hayward, Jimmy Woo, John Collins, Vision, Webb, White Vision",0.4666666667,4,0.3666666667,13,0,10,0.8333333333,8
The Falcon and the Winter Soldier,19-Mar-21,25,4,330,150,0,84,83,"Sam Wilson, Falcon, Bucky Barnes, Winter Soldier, Sharon Carter, John Walker, Kari Morgenthau, Valentina Allegra, Ayo, Joaquin Torres, Georges Batroc, Sarah Wilson, Helmut Zemo, Baron Zemo, James Rhodes, Dovich, Gigi, DeeDee, Christina Raynor, Cass Wilson, AJ Wilson, Tommy, Carloa, Lemar Hoskins, Isaiah Bradley, Lennox, Diego, Eli Bradley, Nico, Olivia Walker",0.3043478261,14,0.6086956522,5,0,10,0.9130434783,6
Loki,9-Jun-21,26,4,300,150,0,92,90,"Loki, Casey, Ravonna Renslayer, Mobius, Sylvie, Hunter B-15, Miss Minutes, Hunter D-90, Hunter C-20, Kid Loki, Classic Loki, Boastful Loki, He Who Remains, Patrice, Hunter U-92, PVT Hudson, Corporal Hicks",0.2666666667,22,0.3333333333,17,0.1333333333,2,0.7333333333,13
Black Widow,9-Jul-21,27,4,134,200,379.8,79,88,"Natasha Romanoff, Black Widow, Yelena Balova, Melina Vostokoff, Alexei Shostakov, Red Guardian, Dreykov, Rick Mason, Thaddeus Ross, Antonia Dreykov, Taskmaster, Lerato, Oksana, Ingrid, Ursa Major, Helen, Valentina Allegra de Fontaine",0.6153846154,1,0.3846153846,12,0,10,1,5
Shang-Chi and the Legend of the Ten Rings,3-Sep-21,28,4,132,200,432.2,91,91,"Abomination, Carol Danvers, Captain Marvel, Morris, Mrs. Chen, Li Ching-Lin, Death Dealer, Razor Fist, Mattias, Ruihua Chen, Shang-Chi, Soo, Gao Lei, Guang Bo, Tak, Trevor Slattery, Helen, Hui, Hulk, Bruce Banner, Wong, Waipo Chen, Xu Wenwu, Xu Xialing, Ying Li, Ying Nan, Yuchen, Katy Chen, Klev, Jon Jon, John (Husband), Jie",0.3846153846,7,0.8461538462,1,0,10,1.230769231,3
Eternals,5-Nov-21,29,4,156,200,402.1,47,78,"Ajak, Arishem, Karun Patel, Kingo, Kro, Blade, Dane Whitman, Diego (Villager), Druig, Makkari, Nezarr, Enkidu, Gilgamesh, Patrick, Phastos, Pip the Troll, Hargen, Ikaris, Sersi, Sprite, Starfox, Ben Stoss, Jack Stoss, Jano, Jemiah, Ted, Terry, Thena, Tiamut",0.2272727273,27,0.5,8,0.09090909091,3,0.8181818182,10
Hawkeye,24-Nov-21,30,4,300,150,0,92,89,"Ana, Kate Bishop, Kazi Kazimierczak, Kingpin, Armand Duquesne III, Armand Duquesne VII, Laura Barton, Lila Barton, Caudle, Cooper Barton, Dee, Marc Shaiman, Missy, Moira Brandon, Derek Bishop, Dmitri, Nathaniel Barton, Echo, Edith Barton, Eleanor Bishop, Enrique, Orville, Pat Kiernan, Franny, Rivera (NYPD), Rocky, Gary (Catering Captain), Greer, Grills, Sonya, Stevie, Hawkeye, Clint Barton, Hulk, Bruce Banner, Tomas, Wendy Conrad, William Lopez, Ivan Banionis, Yelena Belova, Jack Duquesne, Maya Lopez",0.3823529412,9,0.2647058824,19,0,10,0.6470588235,17
Spider-Man: No Way Home,17-Dec-21,31,4,148,200,"1,917",93,91,"Peter Parker, Peter Parker (Amazing Spiderman), Peter Parker (Neighborhood Spiderman), Andre Wilson, Curt Conners, Betty Brant, May Parker, Michelle Jones-Watson, Daredevil, Matt Murdock, Otto Octavius, Dr. Steven Strange, Ned Leeds, Ned Leeds' Lola, Eddie Brock, Max Dillon, P. Cleary, Pat Kiernan, Flash Thompson, Flint Marko, Roger Harrington, Sadie Deever, Norman Osborn, Happy Hogan, J. Jonah Jameson, Julius Dell, Wong, Walter Burke",0.1923076923,31,0.3461538462,15,0,10,0.5384615385,21
Moon Knight,30-Mar-22,32,4,300,165,0,86,89,"Isis' Avatar, Abdallah El-Faouly, Alexander the Great, Alpha (Disciple), Ammit, Anton Mogart, Arthur Harrow, J.B., Jamila, Khonshu, Bek, Lagaro, Layla El-Faouly, Bertrand Crawley, Beta (Disciple), Billy Fitzgerald, Bobbi Kennedy, Montalban, Moon Knight, Marc Spector, Osiris, Isis, Chase, Randall Spector, Ronnie, Rosser, Donna Kraft, Dornfeld, Dylan, Scarlet Scarab, Selim, Elias Spector, Taweret, Tefnut, Tefnut's Avatar, Hathor, Horus, Horus' Avatar, Victor (Disciple), Wendy Spector, Yatzil",0.4137931034,5,0.6206896552,4,0,10,1.034482759,4
Ms. Marvel,8-Jun-22,33,4,270,200,0,97,80,"Kamala Khan, Ms. Marvel, Bruno Carrelli, Nakia Bahadir, Muneeba Khan, Yusuf Khan, Aamir Khan, Kamran, Zoe Zimmer, Sana Ali, Hasan, Najma, Aisha, Fariha, P. Cleary, Sadie Deever Sheikh Abdullah, Najaf, Tyesha Hillman, Waleed, Kareem, Red Dagger, Gabe Wilson Jr., Ruby, Zara, Miguel (Ms. Marvel), Paul",0.4782608696,3,0.8260869565,2,0,10,1.304347826,1
Doctor Strange in the Multiverse of Madness,8-Jul-22,34,4,126,200,955.7,74,82,"Amalia Chavez, America Chavez, Ariann, Baron Mordo, Billy Maximoff, Black Bolt, Mister Fantastic, Mr. Palmer, Nicodemus West, Captain Carter, Peggy Carter, Captain Marvel, Carla (Waitress), Charlie (Husband), Christine Palmer, Clea, Professor X, Rintrah, Sara Wolfe, Scarlett Witch, Wanda Maximoff, Dr. Steven Strange, Thanos, Tommy Maximoff, Elena Chaves, Vinny, Gargantos, Weasel, Wong, Hamir, Maria Rambeau, Charles Xavier, Reed Richards, Blackagar Boltagon",0.3913043478,6,0.3913043478,11,0.04347826087,7,0.8260869565,9
She-Hulk: Attorney at Law,18-Aug-22,35,4,315,225,0,85,41,"Jennifer Walters, Augustus Pugliese, Mary MacPherran, Nikki Ramos, Todd Phelps, Luke Jacobson, Holden Holliway, Morris Walters, Elaine Walters, Megan Thee Stallion, Donny Blaze, Lulu, Bruce Banner, Hulk, Matt Murdock, Daredevil, Titania, She-Hulk, Wong, Mallory Book, Emil Blonsky, Abomination, Dennis Bukowski, Pedro, Ched, Dirk Garthwaite, Wrecker, Josh Miller",0.3181818182,11,0.5454545455,6,0,10,0.8636363636,7
