Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Pamela Hawley,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
P. Wenham,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Chao Yen,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Cameron Klein,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
C. Bryant,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bobbitt,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Moore,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Aaron,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Anderson,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Karman-Kan,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Vorker,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ti Asha,Women,POC,2014,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Horuz,Men,White,2014,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Garthan Saal,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Fitzgibbon,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Duranna,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Moloka Dar,Men,POC,2014,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Broker,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bereet,Women,POC,2014,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Zrinka,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Lila Barton,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Cooper Barton,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Nathaniel Barton,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Costel,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jim Paxton,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Gale,Men,POC,2015,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Maggie Lang,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Dale,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Frank,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ernesto,Men,POC,2015,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Carlos,Men,POC,2015,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Emily,Women,White,2015,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Peachy,Men,POC,2015,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ignacio,Men,POC,2015,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Josef,Men,White,2016,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Vasily Karpov,Men,White,2016,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Theo Broussard,Men,White,2016,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Heike Zemo,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Charlie Spencer,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Miriam Sharpe,Women,POC,2016,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Maria Stark,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Attache,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Lucian,Men,White,2016,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Hamir,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Sol Rama,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Daniel Drumm,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Zylak,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Huhtar,Men,POC,2017,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Halfnut,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Gef,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Shran,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Scrote,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Oblo,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Brahl,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Narblik,Men,POC,2017,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Arkon,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Adam Warlock,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jason Ionello,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Karen,Women,White,2017,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Klev,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
