Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Meredith Quill,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Peter Quill,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Irani Rael,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Maria Rambeau,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Monica Rambeau,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Ramonda,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nikki Ramos,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Razor Fist,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ravonna Renslayer,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
James Rhodes,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Reed Richards,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
William Ginter Riva,Men,White,2008,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Rocket,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Steve Rogers,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jack Rollins,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Natasha Romanoff,Women,White,2010,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ronan the Accuser,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Betty Ross,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Everett K. Ross,Men,White,2016,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Thaddeus Ross,Men,White,2008,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Brock Rumlow,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jack Russell,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Johann Schmidt,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Johann Schmidt,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Herman Schultz,Men,POC,2017,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Erik Selvig,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Sersi,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Shang-Chi,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Alexei Shostakov,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Shuri,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Sif,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Jasper Sitwell,Men,POC,2011,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Skurge,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Trevor Slattery,Men,POC,2013,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Soren,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Marc Spector,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Sprite,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Obadiah Stane,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Howard Stark,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Howard Stark,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Morgan Stark,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Tony Stark,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ava Starr,Women,POC,2018,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Stern,Men,White,2010,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Samuel Sterns,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Dr. Steven Strange,Men,White,2016,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Wolfgang von Strucker,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Surtur,Men,POC,2017,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Surtur,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Sylvie,Women,White,2021,LGBTQ+,2021,Neutral,White Women,LGBTQ+ Women,LGBTQ+ White People,LGBTQ+ White Women,Main Character
Talos,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Taserface,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Taweret,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
T'Chaka,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
"Ted ""Man-Thing""",Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Thanos,Men,White,2012,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Thena,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Flash Thompson,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Thor,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
"Taneleer Tivan ""Collector""",Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Adrian Toomes,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Joaquin Torres,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Yondu Udonta,Men,White,2014,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ultron,Men,White,2015,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Valkyrie,Women,POC,2017,LGBTQ+,2022,Good,Women of Color,LGBTQ+ Women,LGBTQ+ POC,LGBTQ+ Women of Color,Main Character
Hope van Dyne,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Janet van Dyne,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Anton Vanko,Men,White,2010,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ivan Vanko,Men,White,2010,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Volstagg,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Melina Vostokoff,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
